Name,Start,Avg HR (bpm),Min HR,Max HR,Duration (min),Energy (kJ),Temp (°C),Humidity (%),Intensity,Total Steps,Step Point,Avg Step Cadence,HR Data Points,Recovery Start HR,Recovery End HR,Recovery Drop,Recovery Duration,Recovery Data Points
Stairs,2025-07-22 19:36:13 +0530,139.68,118,156,10.05,137.8,29.43,80,9.01,467.0,10,46.47,25,,,,,0
Stairs,2025-07-22 19:10:58 +0530,165.41,115,176,8.94,121.92,29.83,79,9.01,123.73,3,13.83,9,176.0,142.0,34.0,1.87,24
Stairs,2025-07-22 18:31:37 +0530,167.16,131,179,8.96,124.67,30.57,77,9.18,143.88,3,16.05,9,177.0,145.0,32.0,1.85,23
Stairs,2025-07-22 18:16:09 +0530,160.73,101,175,7.79,101.62,30.79,75,8.61,427.08,8,54.85,8,172.0,132.0,40.0,1.87,24
Stairs,2025-07-22 15:57:00 +0530,150.26,109,158,6.38,75.26,32.0,69,7.93,331.0,7,51.92,7,155.0,90.0,65.0,1.9,24
